
In [3]: s.strip_dirs().sort_stats("time").print_stats()                                                                                                                                                     
Wed Dec 26 21:55:21 2018    Profile.prof

         181559334 function calls (177492916 primitive calls) in 5626.720 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       89 1804.680   20.277 1804.680   20.277 {built-in method scipy.signal.sigtools._medfilt2d}
      268 1037.329    3.871 1037.329    3.871 {built-in method scipy.ndimage._nd_image.geometric_transform}
      728  400.236    0.550  400.236    0.550 {method 'tofile' of 'numpy.ndarray' objects}
      716  265.624    0.371  265.624    0.371 {built-in method scipy.ndimage._nd_image.min_or_max_filter1d}
      536  211.888    0.395  211.888    0.395 {built-in method scipy.ndimage._nd_image.spline_filter1d}
      536  184.630    0.344  184.630    0.344 _warps.py:516(_stackcopy)
      536  154.872    0.289  155.033    0.289 utils.py:141(set_nan_to_non_sun)
  3191479  144.763    0.000  144.764    0.000 {built-in method numpy.core.multiarray.concatenate}
     2052  124.977    0.061  124.981    0.061 {built-in method numpy.core.multiarray.dot}
      268  116.521    0.435  124.813    0.466 {built-in method astropy.io.fits.compression.decompress_hdu}
    17875  106.243    0.006  106.439    0.006 {method 'copy' of 'numpy.ndarray' objects}
6528259/6528243   93.060    0.000   93.730    0.000 {built-in method numpy.core.multiarray.array}
      178   81.260    0.457   81.265    0.457 {skimage.transform._warps_cy._warp_fast}
        1   79.320   79.320   92.231   92.231 utils.py:107(running_mean)
       89   54.428    0.612  275.669    3.097 chains.py:182(do_area_filtering)
  3240182   51.653    0.000   51.658    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      268   49.532    0.185   49.548    0.185 numeric.py:1800(indices)
       89   49.012    0.551   49.012    0.551 {skimage.measure._ccomp.label_cython}
      180   38.205    0.212   38.205    0.212 utils.py:94(apply_mask)
     2973   34.056    0.011   34.056    0.011 {built-in method numpy.core.multiarray.copyto}
     9476   32.280    0.003   32.280    0.003 {method 'astype' of 'numpy.ndarray' objects}
      268   29.350    0.110  263.615    0.984 _geometric.py:546(_apply_mat)
     1096   20.551    0.019   20.551    0.019 {method 'byteswap' of 'numpy.ndarray' objects}
  3191906   18.418    0.000   18.418    0.000 _regionprops.py:199(image)
      179   16.514    0.092   55.983    0.313 nanfunctions.py:1309(nanvar)
       90   15.399    0.171   15.399    0.171 {method '__deepcopy__' of 'numpy.ndarray' objects}
       89   15.149    0.170   15.149    0.170 {built-in method scipy.ndimage._nd_image.find_objects}
        3   15.004    5.001   15.004    5.001 {built-in method time.sleep}
     1016   14.970    0.015   15.220    0.015 memmap.py:202(__new__)
  3189169   14.457    0.000   14.457    0.000 _regionprops.py:166(<listcomp>)
       89   13.121    0.147 1944.844   21.852 chains.py:103(_do_limb_darkening_correction)
  3189169   12.809    0.000   78.122    0.000 _regionprops.py:164(coords)
  6380438   12.560    0.000   19.808    0.000 shape_base.py:63(atleast_2d)
      446   12.155    0.027 1890.597    4.239 _warps.py:663(warp)
      268   11.209    0.042 1881.203    7.019 transform.py:22(affine_transform)
      179   10.903    0.061   10.903    0.061 {built-in method numpy.core.multiarray.where}
      179   10.305    0.058  440.307    2.460 chains.py:69(_do_thresholding)
      268    9.569    0.036  273.184    1.019 _geometric.py:559(__call__)
       55    9.387    0.171    9.387    0.171 {method 'recv_into' of '_socket.socket' objects}
      446    8.724    0.020    8.724    0.020 {method 'clip' of 'numpy.ndarray' objects}
  3191906    8.461    0.000    8.461    0.000 _regionprops.py:102(__init__)
9572981/6381075    8.009    0.000   64.873    0.000 _regionprops.py:74(wrapper)
      358    7.920    0.022   62.970    0.176 nanfunctions.py:37(_replace_nan)
 1016/120    7.759    0.008 5505.308   45.878 chains.py:31(process)
      179    7.544    0.042    7.544    0.042 ufunclike.py:84(isposinf)
      179    6.984    0.039    6.984    0.039 ufunclike.py:144(isneginf)
  3236576    6.448    0.000   47.202    0.000 fromnumeric.py:64(_wrapreduction)
      268    6.354    0.024  154.123    0.575 compressed.py:1365(data)
      268    6.329    0.024   77.236    0.288 arraypad.py:993(pad)
       89    5.973    0.067   31.201    0.351 _regionprops.py:361(regionprops)
  3193157    5.899    0.000   53.651    0.000 fromnumeric.py:1821(sum)
      268    5.740    0.021 2146.051    8.008 chains.py:143(_do_aiaprep)
  3189198    5.663    0.000    5.663    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
    60032    5.523    0.000    7.607    0.000 baseframe.py:767(_get_representation_info)
      268    5.248    0.020 1989.714    7.424 mapbase.py:1004(rotate)
      268    5.121    0.019  512.587    1.913 _warps.py:539(warp_coords)
      728    5.003    0.007    5.003    0.007 {method 'close' of '_io.FileIO' objects}
  3190067    4.451    0.000  123.677    0.000 shape_base.py:182(vstack)
  3191906    4.347    0.000   59.442    0.000 _regionprops.py:135(area)
   112760    4.237    0.000    4.298    0.000 header.py:1740(_updateindices)
      629    3.908    0.006    3.908    0.006 {built-in method posix.remove}
      446    3.886    0.009   19.720    0.044 _warps.py:617(_clip_warp_output)
  2709217    3.629    0.000    3.629    0.000 {method 'match' of 're.Pattern' objects}
 12740830    3.595    0.000    3.829    0.000 {built-in method builtins.isinstance}
      179    3.390    0.019   38.779    0.217 type_check.py:331(nan_to_num)
      179    3.389    0.019  726.202    4.057 chains.py:86(actual_process)
  3190067    3.226    0.000   23.034    0.000 shape_base.py:234(<listcomp>)
   638416    3.211    0.000   10.834    0.000 header.py:1103(append)
   622202    2.741    0.000   10.626    0.000 configuration.py:375(__call__)
        9    2.728    0.303    2.728    0.303 {method 'connect' of '_socket.socket' objects}
       90    2.486    0.028 5383.693   59.819 chains.py:180(actual_process)
  6389623    2.291    0.000    5.365    0.000 numeric.py:504(asanyarray)
 16279728    2.256    0.000    2.256    0.000 {method 'append' of 'list' objects}
  3192836    2.182    0.000   17.522    0.000 fromnumeric.py:49(_wrapfunc)
     7096    2.069    0.000    2.069    0.000 {method 'read' of '_io.FileIO' objects}
   828076    2.063    0.000    3.707    0.000 configuration.py:476(get_config)
  3189169    2.013    0.000   10.775    0.000 fromnumeric.py:1577(nonzero)
       90    1.892    0.021    1.892    0.021 {built-in method _operator.le}
       89    1.885    0.021    1.885    0.021 {built-in method _operator.ge}
      179    1.870    0.010  267.576    1.495 grey.py:104(func_out)
12041803/12027488    1.770    0.000    1.794    0.000 {built-in method builtins.len}
   239238    1.734    0.000   10.485    0.000 card.py:1051(_verify)
4175034/3942676    1.698    0.000   16.696    0.000 {built-in method builtins.getattr}
      179    1.569    0.009   57.553    0.322 nanfunctions.py:1450(nanstd)
  5594474    1.554    0.000    2.328    0.000 card.py:212(keyword)
   484940    1.302    0.000    6.830    0.000 card.py:806(_split)
971377/969769    1.121    0.000    1.143    0.000 {method 'format' of 'str' objects}
  1450225    0.957    0.000    1.209    0.000 configobj.py:550(__getitem__)
   119736    0.952    0.000    3.071    0.000 card.py:294(value)
        1    0.939    0.939 5626.741 5626.741 analyse.py:18(mag_variations)
     2768    0.888    0.000    0.888    0.000 {built-in method io.open}
      179    0.857    0.005   46.545    0.260 nanfunctions.py:778(nanmean)
   622208    0.840    0.000    0.840    0.000 validate.py:637(_parse_with_caching)
  1679822    0.817    0.000    1.252    0.000 card.py:462(field_specifier)
   103672    0.809    0.000    5.860    0.000 card.py:715(_parse_value)
  4210541    0.801    0.000    0.801    0.000 {method 'get' of 'dict' objects}
  3344785    0.795    0.000    0.795    0.000 {method 'items' of 'dict' objects}
  1524695    0.744    0.000    0.744    0.000 {method 'split' of 'str' objects}
   927055    0.701    0.000    1.725    0.000 card.py:545(normalize_keyword)
   293596    0.696    0.000   11.637    0.000 card.py:274(value)
  2656074    0.682    0.000    0.696    0.000 {built-in method builtins.issubclass}
       89    0.676    0.008 1948.406   21.892 chains.py:129(actual_process)
   622208    0.674    0.000    2.564    0.000 validate.py:593(check)
     4866    0.667    0.000    0.687    0.000 header.py:550(_find_end_card)
      178    0.664    0.004  101.539    0.570 _warps.py:34(resize)
   207998    0.657    0.000    1.960    0.000 copy.py:66(copy)
   622208    0.638    0.000    3.202    0.000 configuration.py:442(_validate_val)
